,Judul   ,Japanese,Score   ,Produser,Tipe    ,Status  ,Total   ,Durasi  ,Tanggal ,Studio  ,Genre   
0,Koikimo,恋と呼ぶには気持ち悪い,7.25,"Sonilude, Blooms",TV,Completed,12,23 Menit,"Mar 29, 2021",Nomad,"Comedy, Romance"
1,Koufuku Graffiti,幸腹グラフィティ,6.8,"TBS, flying DOG",BD,Completed,12,24 Menit,"Jan 9, 2015",Shaft,"Comedy, Seinen, Slice of Life"
2,Medaka Box Season 2,めだかボックス アブノーマル,7.44,"TV Tokyo, Lantis, Hakoniwa Academy Student Council",BD,Completed,12,24 Menit,"Oct 11, 2012","Gainax, Asahi Production","Action, Comedy,  , Martial Arts, School, Shounen, Super Power"
3,Yakunara Mug Cup mo,やくならマグカップも,6.49,"CBC Television, Planet, Half H.P Studio, Nippon Columbia, 81 Produce, Tokyo MX, BS11, Maho Film, Zipang",TV,Completed,12,14 Menit,"Apr 3, 2021",Nippon Animation,Slice of Life
4,Medaka Box,めだかボックス,7.06,"TV Tokyo, Lantis, Media Factory, Hakoniwa Academy Student Council",BD,Completed,12,24 Menit,"Apr 5, 2012","Gainax, Asahi Production","Action, Comedy,  , Martial Arts, School, Shounen, Super Power"
5,Taimadou Gakuen 35 Shiken Shoutai,対魔導学園35試験小隊,6.87,"KlockWorx, MAGES., Glovision, Kadokawa Media House, Kadokawa, Heiwa",BD,Completed,12,23 Menit,"Oct 8, 2015",SILVER LINK.,"Action,  , Fantasy, Harem, Military, Romance, Supernatural"
6,Jitsu wa Watashi wa,実は私は,6.89,"TV Tokyo, Sotsu, MediaNet, Pony Canyon, AT-X, DAX Production, Asmik Ace, Akita Shoten, TMS Music",BD,Completed,13,23 Menit,"Jul 7, 2015","TMS Entertainment, 3xCube","Comedy, Fantasy, Romance, School, Shounen, Supernatural, Vampire"
7,Amaama to Inazuma,甘々と稲妻,7.52,"Toei Video, Kodansha, Shin-Ei Animation, DAX Production, Asmik Ace, Yomiuri TV Enterprise, Sumitomo, TMS Music",BD,Completed,12,24 Menit,"Jul 5, 2016",TMS Entertainment,"Comedy, Seinen, Slice of Life"
8,Kaguya-sama wa Kokurasetai Season 2,かぐや様は告らせたい？～天才たちの恋愛頭脳戦～,8.93,"Aniplex, Mainichi Broadcasting System, Magic Capsule, Shueisha, East Japan Marketing & Communications",TV,Completed,12,25 Menit,"Apr 11, 2020",A-1 Pictures,"Comedy, Psychological, Romance, School, Seinen"
9,Gyakkyou Burai Kaiji Season 2,逆境無頼カイジ 破戒録篇,8.25,"VAP, Nippon Television Network",TV,Completed,26,24 Menit,"Apr 6, 2011",Madhouse,"Game, Psychological, Seinen, Thriller"
