,Judul   ,Japanese,Score   ,Produser,Tipe    ,Status  ,Total   ,Durasi  ,Tanggal ,Studio  ,Genre   
0,NieR Automata,NieR:Automata Ver1.1a,7.57,"Aniplex, Square Enix",TV,Completed,12,23 Menit,"Jan 08, 2023",A-1 Pictures,"Action, Fantasy, Sci-Fi"
1,Mobile Suit Gundam: The Witch from Mercury Season 2,Mobile Suit Gundam: The Witch from Mercury Season 2,8.00,"Sotsu, Mainichi Broadcasting System, Bandai Namco Filmworks",TV,Completed,12,24 Menit,"Apr 09, 2023",Sunrise,"Action, Mecha, School, Sci-Fi, Space"
2,The IDOLM@STER Cinderella Girls: U149,アイドルマスター シンデレラガールズ U149,7.72,"Nippon Columbia, Bandai Namco Entertainment, Cygames",TV,Completed,12,24 Menit,"Apr 06, 2023",CygamesPictures,"Idols, Music"
3,Kimi wa Houkago Insomnia,君は放課後インソムニア,8.09,"TV Tokyo, Pony Canyon, Ultra Super Pictures, Shogakukan, MAGNET, CHOCOLATE",TV,Completed,13,23 Menit,"Apr 11, 2023",LIDENFILMS,"Romance, School, Seinen"
4,The Marginal Service,THE MARGINAL SERVICE,5.49,"Shochiku, Movic, Nippon Television Network, King Records, Cygames, dugout, Happinet Media Marketing",TV,Completed,12,22 Menit,"Apr 12, 2023",Studio 3Hz,"Action, Sci-Fi"
5,Dead Mount Death Play,ッドマウント・デスプレイ,7.31,"Square Enix, Movic, Half H.P Studio, F.M.F, King Records, Crunchyroll, Kadokawa Media House, Geek Pictures",TV,Completed,12,23 Menit,"Apr 11, 2023",Geek Toys,"Action, Fantasy, Reincarnation, Seinen, Supernatural"
6,Uma Musume: Pretty Derby - Road to the Top,ウマ娘 プリティーダービー Road to the Top,7.85,,ONA,Completed,4,24 Menit,"Apr 16, 2023",CygamesPictures,Sports
7,Golden Kamuy Season 4,ゴールデンカムイ,8.13,"NBCUniversal Entertainment Japan, Tokyo MX, Good Smile Company, Sammy, Shueisha, JR East Marketing & Communications, Twin Engine",TV,Completed,13,23 Menit,"Okt 03, 2022",Brain's Base,"Action, Adventure, Historical, Military, Seinen"
8,Kaminaki Sekai no Kamisama Katsudou,神無き世界のカミサマ活動,6.78,"Lantis, DAX Production, Kansai Telecasting, BS NTV, Kadokawa, MAGNET, Bandai Namco Music Live",TV,Completed,12,23 Menit,"Apr 06, 2023",Studio Palette,"Action, Comedy,  , Fantasy, Isekai, Parody, Reincarnation, Seinen"
9,Jigokuraku,地獄楽,8.16,Twin Engine,TV,Completed,13,24 Menit,"Apr 01, 2023",MAPPA,"Action, Fantasy, Gore, Historical, Shounen"
10,Majutsushi Orphen Hagure Tabi Season 4,魔術士オーフェンはぐれ旅 聖域編,6.04,"WOWOW, Bushiroad, BS Fuji, Nippon Television Network, Yomiuri TV Enterprise, TO Books, NetEase, MediaNet Pictures, Bandai Namco Music Live",TV,Completed,12,23 Menit,"Apr 12, 2023",Studio Deen,"Action, Adventure, Drama, Fantasy, Martial Arts"
11,Mashle,マッシュル-MASHLE-,7.57,"Aniplex, Asatsu DK, Shueisha, INSPION Edge",TV,Completed,12,23 Min.,"Apr 08, 2023",A-1 Pictures,"Action, Comedy, Fantasy, Parody, School, Shounen"
12,Isekai de Cheat Skill wo Te ni Shita Ore wa,異世界でチート能力を手にした俺は、現実世界をも無双する ～レベルアップは人生を変えた～,6.36,"TMS Entertainment, Tokyo MX, BS11, Kadokawa, CTW",TV,Completed,13,24 Menit,"Apr 04, 2023",Millepensee,"Action, Adventure, Fantasy, Isekai, School"
13,World Dai Star,ワールドダイスター,7.32,"Studio Hibari, Lantis, Good Smile Company, Egg Firm, Hawkeye, GREE Entertainment, Bandai Namco Filmworks, Bandai Namco Music Live, Daito Giken",TV,Completed,12,23 Menit,"Apr 09, 2023",Lerche,Performing Arts
14,Kanojo ga Koushaku-tei ni Itta Riyuu,彼女が公爵邸に行った理由,7.50,"Frontier Works, Lantis, Glovision, Kadokawa",TV,Completed,12,23 Menit,"Apr 10, 2023",Typhoon Graphics,"Fantasy, Isekai, Reincarnation, Romance"
15,Jijou wo Shiranai Tenkousei ga Guigui Kuru,事情を知らない転校生がグイグイくる。,7.54,"Pierrot, Sony Pictures Entertainment, Square Enix, Animax, Nippon Columbia, BS Fuji, Crunchyroll, Yomiuri TV Enterprise, Jinnan Studio",TV,Completed,13,23 Menit,"Apr 02, 2023",Studio Signpost,"Comedy, Romance, School, Shounen"
16,Otonari ni Ginga,おとなりに銀河,7.13,"Kodansha, KlockWorx, King Records, Crunchyroll",TV,Completed,12,24 Menit,"Apr 09, 2023",Asahi Production,"Childcare, Comedy, Otaku Culture, Romance, Seinen, Supernatural"
